NAME                                       STATUS                        ROLES                  AGE      VERSION    INTERNAL-IP       EXTERNAL-IP   OS-IMAGE                KERNEL-VERSION                  CONTAINER-RUNTIME               REGION
k8s-chase-ci-01.calit2.optiputer.net       Ready                         <none>                 2y78d    v1.23.14   67.58.53.158      <none>        Ubuntu 20.04.3 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
k8s-chase-ci-01.noc.ucsb.edu               Ready                         <none>                 2y22d    v1.23.14   128.111.68.133    <none>        Ubuntu 20.04.3 LTS      5.4.0-135-generic               containerd://1.5.9              us-west
k8s-chase-ci-02.calit2.optiputer.net       Ready                         <none>                 202d     v1.23.14   67.58.53.159      <none>        Ubuntu 20.04.3 LTS      5.4.0-135-generic               containerd://1.5.9              us-west
k8s-chase-ci-03.calit2.optiputer.net       Ready                         <none>                 2y78d    v1.23.14   67.58.53.160      <none>        Ubuntu 20.04.3 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
k8s-chase-ci-04.calit2.optiputer.net       Ready                         <none>                 202d     v1.23.14   67.58.53.161      <none>        Ubuntu 20.04.4 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
k8s-chase-ci-06.calit2.optiputer.net       Ready                         <none>                 2y91d    v1.23.14   67.58.53.166      <none>        Ubuntu 20.04.3 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
k8s-chase-ci-07.calit2.optiputer.net       Ready                         <none>                 221d     v1.23.14   67.58.53.167      <none>        Ubuntu 20.04.3 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
k8s-chase-ci-10.calit2.optiputer.net       Ready                         <none>                 3y103d   v1.23.14   67.58.53.182      <none>        Ubuntu 20.04.3 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
k8s-dtn-01.uog.edu                         Ready                         <none>                 2y145d   v1.23.14   168.123.136.165   <none>        Ubuntu 20.04.5 LTS      5.4.0-137-generic               containerd://1.5.9              pacific
k8s-epyc-01.sdsc.optiputer.net             Ready                         <none>                 5y3d     v1.23.14   198.17.101.70     <none>        Ubuntu 20.04.3 LTS      5.4.0-135-generic               containerd://1.5.9              us-west
k8s-gen4-01.ampath.net                     Ready                         <none>                 716d     v1.23.14   190.103.184.103   <none>        Ubuntu 20.04.3 LTS      5.4.0-137-generic               containerd://1.5.9              us-east
k8s-gen4-07.ultralight.org                 Ready                         <none>                 676d     v1.23.14   198.32.43.12      <none>        Ubuntu 20.04.3 LTS      5.15.0-56-generic               containerd://1.5.9              us-west
k8s-gen4-sm.calit2.optiputer.net           Ready                         <none>                 199d     v1.23.14   67.58.53.207      <none>        Ubuntu 20.04.3 LTS      5.4.0-135-generic               containerd://1.5.9              us-west
k8s-gpu-01.calit2.optiputer.net            Ready                         <none>                 2y78d    v1.23.14   67.58.53.155      <none>        Ubuntu 20.04.5 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
k8s-gpu-03.sdsc.optiputer.net              Ready                         <none>                 4y332d   v1.23.14   198.17.101.69     <none>        Ubuntu 20.04.3 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
k8s-gpu-1.ucr.edu                          Ready                         <none>                 505d     v1.23.14   138.23.104.114    <none>        Ubuntu 20.04.3 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
k8s-gpu-1.ucsc.edu                         Ready                         <none>                 333d     v1.23.14   128.114.109.78    <none>        Ubuntu 20.04.3 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
k8s-gpu-2.ucsc.edu                         Ready                         <none>                 4y338d   v1.23.14   128.114.109.79    <none>        Ubuntu 20.04.3 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
k8s-gpu-3.ucr.edu                          Ready                         <none>                 505d     v1.23.14   138.23.104.118    <none>        Ubuntu 20.04.3 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
k8s-gpu-3.ucsc.edu                         Ready                         <none>                 156d     v1.23.14   169.233.4.66      <none>        Ubuntu 20.04.4 LTS      5.4.0-135-generic               containerd://1.5.9              us-west
k8s-gpu-4.ucsc.edu                         Ready                         <none>                 157d     v1.23.14   169.233.4.67      <none>        Ubuntu 20.04.4 LTS      5.4.0-135-generic               containerd://1.5.9              us-west
k8s-gpu-5.ucsc.edu                         Ready                         <none>                 41d      v1.23.14   128.114.109.80    <none>        Ubuntu 20.04.5 LTS      5.4.0-135-generic               containerd://1.5.9              us-west
k8s-haosu-01.sdsc.optiputer.net            Ready                         <none>                 3y173d   v1.23.14   67.58.51.226      <none>        Ubuntu 20.04.5 LTS      5.4.0-135-generic               containerd://1.5.9              us-west
k8s-haosu-02.sdsc.optiputer.net            Ready                         <none>                 3y173d   v1.23.14   67.58.51.227      <none>        Ubuntu 20.04.5 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
k8s-haosu-03.sdsc.optiputer.net            Ready                         <none>                 174d     v1.23.14   67.58.51.228      <none>        Ubuntu 20.04.3 LTS      5.4.0-135-generic               containerd://1.5.9              us-west
k8s-haosu-04.sdsc.optiputer.net            Ready                         <none>                 3y171d   v1.23.14   67.58.51.229      <none>        Ubuntu 20.04.5 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
k8s-haosu-05.sdsc.optiputer.net            Ready                         <none>                 3y21d    v1.23.14   67.58.51.230      <none>        Ubuntu 20.04.5 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
k8s-haosu-06.sdsc.optiputer.net            Ready                         <none>                 3y34d    v1.23.14   67.58.51.231      <none>        Ubuntu 20.04.5 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
k8s-haosu-07.sdsc.optiputer.net            Ready                         <none>                 3y34d    v1.23.14   67.58.51.232      <none>        Ubuntu 20.04.5 LTS      5.4.0-136-generic               containerd://1.5.9              us-west
k8s-haosu-09.sdsc.optiputer.net            Ready                         <none>                 3y21d    v1.23.14   67.58.51.234      <none>        Ubuntu 20.04.5 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
k8s-haosu-10.sdsc.optiputer.net            Ready                         <none>                 3y34d    v1.23.14   67.58.51.235      <none>        Ubuntu 20.04.5 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
k8s-haosu-11.sdsc.optiputer.net            Ready                         <none>                 3y34d    v1.23.14   67.58.51.236      <none>        Ubuntu 20.04.5 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
k8s-haosu-12.sdsc.optiputer.net            Ready                         <none>                 3y34d    v1.23.14   67.58.51.237      <none>        Ubuntu 20.04.5 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
k8s-haosu-14.sdsc.optiputer.net            Ready                         <none>                 3y34d    v1.23.14   67.58.51.239      <none>        Ubuntu 20.04.5 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
k8s-haosu-15.sdsc.optiputer.net            Ready                         <none>                 3y34d    v1.23.14   67.58.51.240      <none>        Ubuntu 20.04.5 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
k8s-haosu-16.sdsc.optiputer.net            Ready                         <none>                 3y34d    v1.23.14   67.58.51.241      <none>        Ubuntu 20.04.5 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
